Time	Speed
s*1e-6	m/s
1450984	0.015
1460910	0.015
1470998	0.015
1481020	0.015
1490992	0.02
1500920	0.015
1511020	0.015
1520950	0.015
1530986	0.02
1540919	0.02
1550972	0.02
1560975	0.02
1570965	0.02
1580922	0.02
1591266	0.02
1600940	0.02
1611016	0.015
1620958	0.02
1630999	0.015
1640934	0.015
1651005	0.02
1660907	0.015
1670983	0.015
1680904	0.02
1690994	0.015
1700905	0.02
1711014	0.02
1721001	0.015
1730993	0.02
1740912	0.015
1751008	0.015
1760930	0.02
1770960	0.02
1780895	0.015
1791012	0.015
1800901	0.015
1810962	0.02
1820916	0.02
1830969	0.02
1840940	0.02
1851984	0.02
1860924	0.015
1870938	0.02
1880922	0.015
1891033	0.02
1900921	0.015
1911038	0.02
1920975	0.015
1930976	0.02
1940926	0.015
1951005	0.015
1960890	0.015
1970934	0.015
1981040	0.02
1991114	0.015
2000902	0.015
2010983	0.015
2020913	0.015
2030956	0.02
2040917	0.015
2050991	0.015
2060885	0.015
2070948	0.02
2080907	0.02
2090978	0.02
2100893	0.02
2110998	0.015
2120892	0.02
2130972	0.015
2140908	0.015
2151131	0.015
2160891	0.015
2170972	0.015
2180910	0.015
2190986	0.015
2200912	0.015
2210939	0.02
2220951	0.015
2230947	0.015
2240908	0.02
2250969	0.015
2260895	0.02
2270952	0.015
2280890	0.02
2290994	0.015
2300892	0.02
2311002	0.02
2320919	0.02
2330940	0.015
2340905	0.015
2350992	0.015
2360879	0.015
2371948	0.015
2380878	0.02
2390971	0.015
2400888	0.02
2410979	0.015
2420875	0.015
2430987	0.015
2440899	0.015
2451020	0.02
2460874	0.015
2470992	0.015
2480883	0.02
2490972	0.015
2500858	0.015
2510946	0.015
2520900	0.02
2530951	0.015
2540905	0.015
2550978	0.02
2560882	0.015
2570873	0.015
2580889	0.02
2590967	0.02
2600857	0.015
2610953	0.02
2620881	0.02
2630958	0.015
2640872	0.015
2650960	0.015
2660960	0.015
2670929	0.015
2680917	0.015
2690990	0.015
2700865	0.015
2710885	0.015
2720879	0.015
2730962	0.02
2740889	0.015
2750918	0.015
2760909	0.015
2770923	0.02
2780867	0.015
2790959	0.015
2800892	0.015
2811014	0.02
2820905	0.015
2830881	0.02
2840869	0.015
2850867	0.02
2860903	0.02
2870870	0.015
2880908	0.015
2890870	0.015
2900852	0.02
2910930	0.02
2920898	0.02
2930997	0.015
2940900	0.015
2950954	0.02
2960898	0.02
2970876	0.015
2980863	0.015
2990885	0.015
3000845	0.015
3010990	0.02
3020859	0.02
3030956	0.015
3040874	0.015
3050953	0.015
3060872	0.015
3070881	0.02
3080867	0.015
3090880	0.015
3100895	0.015
3110949	0.015
3120858	0.015
3130866	0.015
3140869	0.015
3150946	0.015
3160859	0.015
3170927	0.015
3180908	0.02
3190937	0.015
3200858	0.02
3210968	0.02
3220854	0.02
3230857	0.015
3240889	0.015
3250856	0.015
3260880	0.015
3270865	0.015
3280858	0.015
3290943	0.015
3300845	0.015
3310881	0.015
3320847	0.015
3330854	0.015
3340874	0.015
3351049	0.02
3360850	0.02
3370856	0.015
3380833	0.015
3390946	0.015
3400858	0.02
3410876	0.015
3420875	0.02
3430860	0.02
3440875	0.02
3450921	0.02
3460898	0.015
3470852	0.02
3480906	0.02
3490965	0.015
3500838	0.015
3511017	0.02
3520900	0.015
3530855	0.015
3540852	0.015
3550876	0.015
3561145	0.015
3570858	0.02
3580837	0.02
3590941	0.015
3600862	0.015
3610999	0.015
3620884	0.015
3630922	0.02
3640876	0.015
3650988	0.02
3660853	0.015
3670852	0.015
3680823	0.015
3690957	0.015
3700818	0.015
3710927	0.015
3720897	0.015
3730875	0.015
3740863	0.02
3750881	0.015
3760855	0.02
3770840	0.015
3780839	0.02
3790879	0.02
3800833	0.015
3811050	0.015
3820869	0.02
3830847	0.015
3840871	0.015
3851033	0.02
3860887	0.02
3870853	0.02
3880819	0.02
3890968	0.015
3900822	0.015
3911363	0.015
3920829	0.015
3930876	0.02
3940885	0.02
3950868	0.02
3960846	0.015
3970843	0.015
3981017	0.015
3990857	0.02
4000921	0.02
4010846	0.02
